Row ID,Order ID,Order Date,Category,Sub-Category,Sales,Quantity,Discount,Profit,State,Sales per Unit,Discount _Flag,Leakage_Flag
6548,CA-2014-113880,03.01.2014,Furniture,Chairs,634.12,6,0.3,-172.12,Illinois,105.686,Normal,Revenue Leakage
7948,CA-2014-131009,03.01.2014,Office Supplies,Fasteners,18.84,5,0.2,-3.53,Texas,3.768,Normal,Revenue Leakage
7950,CA-2014-131009,03.01.2014,Furniture,Furnishings,63.55,6,0.6,-34.95,Texas,10.592,High Discount,Revenue Leakage
7951,CA-2014-131009,03.01.2014,Office Supplies,Storage,129.55,3,0.2,-22.67,Texas,43.184,Normal,Revenue Leakage
8311,CA-2014-168312,03.01.2014,Furniture,Tables,376.51,3,0.3,-43.03,Texas,125.503,Normal,Revenue Leakage
1320,CA-2014-160773,07.01.2014,Office Supplies,Binders,5.18,6,0.7,-3.63,Florida,0.864,High Discount,Revenue Leakage
3194,CA-2014-165428,09.01.2014,Office Supplies,Binders,3.65,3,0.8,-6.02,Texas,1.216,High Discount,Revenue Leakage
2832,CA-2014-148915,11.01.2014,Office Supplies,Storage,443.92,5,0.2,-94.33,Oregon,88.784,Normal,Revenue Leakage
9870,CA-2014-114195,11.01.2014,Office Supplies,Binders,3.13,2,0.7,-2.61,Ohio,1.566,High Discount,Revenue Leakage
9871,CA-2014-114195,11.01.2014,Office Supplies,Binders,22.43,3,0.7,-17.94,Ohio,7.476,High Discount,Revenue Leakage
4495,CA-2014-150798,12.01.2014,Furniture,Chairs,909.72,6,0.3,-51.98,Ohio,151.62,Normal,Revenue Leakage
4905,US-2014-161613,12.01.2014,Furniture,Chairs,674.06,3,0.3,-19.26,Texas,224.686,Normal,Revenue Leakage
9630,CA-2014-118192,13.01.2014,Office Supplies,Binders,3.44,2,0.7,-2.52,Ohio,1.719,High Discount,Revenue Leakage
6475,CA-2014-149524,14.01.2014,Furniture,Bookcases,61.96,4,0.5,-53.29,Pennsylvania,15.49,High Discount,Revenue Leakage
972,CA-2014-115791,16.01.2014,Technology,Phones,124.20,3,0.4,-31.05,Pennsylvania,41.4,High Discount,Revenue Leakage
973,CA-2014-115791,16.01.2014,Office Supplies,Binders,18.59,2,0.7,-13.63,Pennsylvania,9.294,High Discount,Revenue Leakage
5463,CA-2014-146591,19.01.2014,Office Supplies,Binders,32.34,10,0.7,-23.72,Arizona,3.234,High Discount,Revenue Leakage
5466,CA-2014-146591,19.01.2014,Furniture,Bookcases,181.47,5,0.7,-320.60,Arizona,36.294,High Discount,Revenue Leakage
7121,US-2014-147774,20.01.2014,Office Supplies,Binders,67.19,1,0.7,-51.52,Tennessee,67.194,High Discount,Revenue Leakage
3796,US-2014-117163,27.01.2014,Furniture,Tables,333.00,3,0.2,-16.65,California,111,Normal,Revenue Leakage
9138,CA-2014-123400,02.02.2014,Office Supplies,Binders,18.34,2,0.7,-12.22,Florida,9.168,High Discount,Revenue Leakage
7289,CA-2014-158281,09.02.2014,Technology,Machines,559.71,3,0.4,-121.27,Texas,186.57,High Discount,Revenue Leakage
3227,CA-2014-108189,10.02.2014,Office Supplies,Supplies,15.36,2,0.2,-3.26,Arizona,7.68,Normal,Revenue Leakage
3229,CA-2014-108189,10.02.2014,Technology,Accessories,7.16,1,0.2,-0.09,Arizona,7.16,Normal,Revenue Leakage
6502,CA-2014-129147,11.02.2014,Technology,Phones,539.96,6,0.4,-107.99,Ohio,89.994,High Discount,Revenue Leakage
